0.089209,0.35917,0.38777,0.074959
0.0002848,0.13674,0.013237,0.070761
0.020928,9.803e-008,0.0040877,0.013363
0.040186,2.9819e-007,0.0092025,0.020198
0.069123,1.8726e-007,2.4539e-007,0.067569
1.584e-007,0.17901,3.4347e-006,0.19794
0.034821,1.2209e-007,0.0051708,0.019373
0.024292,0.004284,2.5517e-007,0.039563
0.057702,0.0080812,0.18359,1.1976e-007
1.9574e-007,0.11805,0.029666,0.045556
0.0039633,7.772e-008,2.2616e-007,0.0019735
0.023798,2.0286e-007,0.0032734,0.012243
0.069435,0.0059748,0.053708,0.014687
0.033461,7.9512e-008,0.012689,0.010172
0.10498,1.6697e-007,0.10541,3.1587e-007
3.2854e-007,0.13454,0.024113,0.062093
0.020713,0.0037845,0.0040758,0.014505
0.0014214,1.0875e-007,8.0491e-008,0.0067017
0.085203,1.7889e-007,0.087057,0.0070619
0.10056,2.8504e-007,0.021814,0.072094
0.13681,6.0554e-007,1.8309e-005,0.16853
0.011231,0.048778,0.035948,0.0077858
0.014049,6.3249e-008,0.013772,1.3045e-007
0.033553,9.6945e-008,2.6689e-006,0.037815
0.0003975,1.0163e-007,0.0036478,0.00012074
0.023634,0.0015736,7.3009e-007,0.034465
0.00024717,6.5542e-008,0.0017388,0.00046684
